2023-05-22 17:14:31.606389: iter: [15/20], train_loss: -1.767994, valid_loss: -1.512758
2023-05-22 17:39:12.471218: iter: [16/20], train_loss: -1.905782, valid_loss: -1.689332
2023-05-22 18:03:48.447580: iter: [17/20], train_loss: -2.063667, valid_loss: -1.816263
2023-05-22 18:28:41.729702: iter: [18/20], train_loss: -2.209246, valid_loss: -1.976731
2023-05-22 18:53:41.045241: iter: [19/20], train_loss: -2.383562, valid_loss: -2.124585
2023-05-22 19:18:33.668968: iter: [20/20], train_loss: -2.529047, valid_loss: -2.242071
2023-05-23 11:53:03.285076: iter: [1/20], train_loss: 0.920347, valid_loss: 1.117446
2023-05-23 12:17:18.601476: iter: [2/20], train_loss: 1.024051, valid_loss: 1.110154
2023-05-23 12:41:12.316031: iter: [3/20], train_loss: 0.976502, valid_loss: 1.054499
2023-05-23 13:05:01.990876: iter: [4/20], train_loss: 0.885605, valid_loss: 0.836203
2023-05-23 13:29:20.147517: iter: [5/20], train_loss: 0.045344, valid_loss: 0.779833
2023-05-23 13:53:11.919631: iter: [6/20], train_loss: 0.908695, valid_loss: 0.652770
2023-05-23 14:16:55.987863: iter: [7/20], train_loss: 0.856953, valid_loss: -0.163705
2023-05-23 14:40:40.317768: iter: [8/20], train_loss: 0.713726, valid_loss: 0.843213
2023-05-23 15:04:12.036226: iter: [9/20], train_loss: 0.361711, valid_loss: -4.271895
2023-05-23 15:28:03.601251: iter: [10/20], train_loss: -0.321292, valid_loss: 1.314763
2023-05-23 15:51:42.273079: iter: [11/20], train_loss: -1.716284, valid_loss: 0.633468
2023-05-23 16:15:23.872011: iter: [12/20], train_loss: 1.188852, valid_loss: 0.961772
2023-05-23 16:38:57.339000: iter: [13/20], train_loss: 1.069854, valid_loss: 0.931919
2023-05-23 17:36:48.107823: iter: [14/20], train_loss: 1.060023, valid_loss: 0.940437
2023-05-23 19:07:01.149318: iter: [15/20], train_loss: 1.055436, valid_loss: 0.927666
2023-05-23 20:37:50.631823: iter: [16/20], train_loss: 1.045733, valid_loss: 0.930788
2023-05-23 22:12:14.261294: iter: [17/20], train_loss: 1.033324, valid_loss: 0.881942
2023-05-23 23:46:18.489668: iter: [18/20], train_loss: 1.023288, valid_loss: 0.909494
2023-05-24 01:15:36.661435: iter: [19/20], train_loss: 1.010835, valid_loss: 0.877631
2023-05-24 02:45:13.650302: iter: [20/20], train_loss: 0.993182, valid_loss: 0.895646
2023-05-25 00:09:57.596947: iter: [1/8], train_loss: 0.451994, valid_loss: 0.435825
2023-05-25 01:00:29.451655: iter: [2/8], train_loss: 0.261939, valid_loss: 0.230174
2023-05-25 01:49:59.634069: iter: [3/8], train_loss: 0.149939, valid_loss: 0.139642
2023-05-25 02:39:32.262706: iter: [4/8], train_loss: 0.043203, valid_loss: 0.026644
2023-05-25 03:29:06.059198: iter: [5/8], train_loss: -0.139938, valid_loss: -0.053676
2023-05-25 04:18:47.670261: iter: [6/8], train_loss: -0.342852, valid_loss: -0.040032
2023-05-25 05:08:23.884044: iter: [7/8], train_loss: -0.537591, valid_loss: 0.067605
2023-05-25 05:58:04.877826: iter: [8/8], train_loss: -0.726374, valid_loss: 0.386739
2023-05-28 18:18:17.158321: iter: [1/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 18:50:28.479742: iter: [2/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 19:22:19.550347: iter: [3/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 19:53:16.359950: iter: [4/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 20:20:57.413768: iter: [5/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 20:43:17.999102: iter: [6/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 21:05:13.705019: iter: [7/20], train_loss: 0.000000, valid_loss: 0.000000
